,Name,Year,Duration,IMDB,MetaScore
0,Shershaah,(2021),135 min,8.8,-
1,Once Upon a Time... In Hollywood,(2019),161 min,7.6,83        
2,Zack Snyder's Justice League,(2021),242 min,8.1,54        
3,The Shawshank Redemption,(1994),142 min,9.3,80        
4,The Godfather,(1972),175 min,9.2,100        
5,Jaws,(1975),124 min,8.0,87        
6,Guardians of the Galaxy,(2014),121 min,8.0,76        
7,Avengers: Endgame,(2019),181 min,8.4,78        
8,The Wolf of Wall Street,(2013),180 min,8.2,75        
9,Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,64        
10,Joker,(2019),122 min,8.4,59        
11,The Dark Knight,(2008),152 min,9.0,84        
12,Knives Out,(2019),130 min,7.9,82        
13,Pulp Fiction,(1994),154 min,8.9,94        
14,Interstellar,(2014),169 min,8.6,74        
15,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        
16,Forrest Gump,(1994),142 min,8.8,82        
17,The Matrix,(1999),136 min,8.7,73        
18,Back to the Future,(1985),116 min,8.5,87        
19,Inception,(2010),148 min,8.8,74        
20,Django Unchained,(2012),165 min,8.4,81        
21,Parasite,(2019),132 min,8.6,96        
22,Tombstone,(1993),130 min,7.8,50        
23,Guardians of the Galaxy Vol. 2,(2017),136 min,7.6,67        
24,Titanic,(1997),194 min,7.8,75        
25,Thor: Ragnarok,(2017),130 min,7.9,74        
26,Inglourious Basterds,(2009),153 min,8.3,69        
27,The Gentlemen,(2019),113 min,7.8,51        
28,Blade Runner 2049,(2017),164 min,8.0,81        
29,The Father,(I) (2020),97 min,8.3,88        
30,The Departed,(2006),151 min,8.5,85        
31,Jurassic Park,(1993),127 min,8.1,68        
32,Another Round,(2020),117 min,7.8,79        
33,Ferris Bueller's Day Off,(1986),103 min,7.8,61        
34,Avengers: Infinity War,(2018),149 min,8.4,68        
35,Dazed and Confused,(1993),102 min,7.6,78        
36,Goodfellas,(1990),146 min,8.7,90        
37,Alien,(1979),117 min,8.4,89        
38,Heat,(1995),170 min,8.2,76        
39,Deadpool,(2016),108 min,8.0,65        
40,Prisoners,(2013),153 min,8.1,70        
41,Star Trek,(2009),127 min,7.9,82        
42,Se7en,(1995),127 min,8.6,65        
43,Gone Girl,(2014),149 min,8.1,79        
44,Deadpool 2,(2018),119 min,7.7,66        
45,Fight Club,(1999),139 min,8.8,66        
46,Catch Me If You Can,(2002),141 min,8.1,75        
47,The Big Lebowski,(1998),117 min,8.1,71        
48,Aliens,(1986),137 min,8.3,84        
49,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),143 min,8.0,63        
50,Shutter Island,(2010),138 min,8.2,63        
51,American Psycho,(2000),101 min,7.6,64        
52,The Dark Knight Rises,(2012),164 min,8.4,78        
53,Requiem for a Dream,(2000),102 min,8.3,68        
54,Saving Private Ryan,(1998),169 min,8.6,91        
55,Gladiator,(2000),155 min,8.5,67        
56,Jojo Rabbit,(2019),108 min,7.9,58        
57,Watchmen,(2009),162 min,7.6,56        
58,No Country for Old Men,(2007),122 min,8.1,91        
59,The Goonies,(1985),114 min,7.8,62        
60,Bohemian Rhapsody,(2018),134 min,7.9,49        
61,The Silence of the Lambs,(1991),118 min,8.6,85        
62,The Hobbit: An Unexpected Journey,(2012),169 min,7.8,58        
63,Indiana Jones and the Raiders of the Lost Ark,(1981),115 min,8.4,85        
64,There Will Be Blood,(2007),158 min,8.2,93        
65,The Prestige,(2006),130 min,8.5,66        
66,The Green Mile,(1999),189 min,8.6,61        
67,1917,(2019),119 min,8.3,78        
68,Avatar,(2009),162 min,7.8,83        
69,The Godfather: Part II,(1974),202 min,9.0,90        
70,Schindler's List,(1993),195 min,8.9,94        
71,Ford v Ferrari,(2019),152 min,8.1,81        
72,The Fifth Element,(1997),126 min,7.7,52        
73,Little Women,(2019),135 min,7.8,91        
74,Harry Potter and the Deathly Hallows: Part 2,(2011),130 min,8.1,85        
75,The Hangover,(2009),100 min,7.7,73        
76,Ocean's Eleven,(2001),116 min,7.7,74        
77,Soul,(2020),100 min,8.1,83        
78,Harry Potter and the Goblet of Fire,(2005),157 min,7.7,81        
79,Stand by Me,(1986),89 min,8.1,75        
80,Mulholland Dr.,(2001),147 min,7.9,85        
81,The Shining,(1980),146 min,8.4,66        
82,Moana,(I) (2016),107 min,7.6,81        
83,Kingsman: The Secret Service,(2014),129 min,7.7,60        
84,Mad Max: Fury Road,(2015),120 min,8.1,90        
85,The Avengers,(2012),143 min,8.0,69        
86,Black Swan,(2010),108 min,8.0,79        
87,Good Will Hunting,(1997),126 min,8.3,70        
88,Léon: The Professional,(1994),110 min,8.5,64        
89,Boogie Nights,(1997),155 min,7.9,85        
90,Ghostbusters,(1984),105 min,7.8,71        
91,The Mitchells vs the Machines,(2021),113 min,7.7,80        
92,Sicario,(2015),121 min,7.6,82        
93,The Lord of the Rings: The Return of the King,(2003),201 min,8.9,94        
94,Star Wars: Episode IV - A New Hope,(1977),121 min,8.6,90        
95,The Hateful Eight,(2015),168 min,7.8,68        
96,Scarface,(1983),170 min,8.3,65        
97,Hamilton,(2020),160 min,8.4,90        
98,Snatch,(2000),102 min,8.3,55        
99,Apocalypse Now,(1979),147 min,8.4,94        
100,The Princess Bride,(1987),98 min,8.1,77        
101,Whiplash,(2014),106 min,8.5,88        
102,Rogue One: A Star Wars Story,(2016),133 min,7.8,65        
103,The Irishman,(2019),209 min,7.8,94        
104,Iron Man,(2008),126 min,7.9,79        
105,The Usual Suspects,(1995),106 min,8.5,77        
106,Blade Runner,(1982),117 min,8.1,84        
107,American Beauty,(1999),122 min,8.3,84        
108,Call Me by Your Name,(2017),132 min,7.9,93        
109,A Clockwork Orange,(1971),136 min,8.3,77        
110,Batman Begins,(2005),140 min,8.2,70        
111,Kill Bill: Vol. 1,(2003),111 min,8.1,69        
112,Pride & Prejudice,(2005),129 min,7.8,82        
113,Almost Famous,(2000),122 min,7.9,90        
114,Reservoir Dogs,(1992),99 min,8.3,79        
115,Spider-Man: Into the Spider-Verse,(2018),117 min,8.4,87        
116,The Game,(1997),129 min,7.7,61        
117,True Romance,(1993),119 min,7.9,59        
118,300,(2006),117 min,7.6,52        
119,Taxi Driver,(1976),114 min,8.2,94        
120,The Girl with the Dragon Tattoo,(2011),158 min,7.8,71        
121,Get Out,(I) (2017),104 min,7.7,85        
122,The Hobbit: The Desolation of Smaug,(2013),161 min,7.8,66        
123,The Grand Budapest Hotel,(2014),99 min,8.1,88        
124,Terminator 2: Judgment Day,(1991),137 min,8.5,75        
125,Edge of Tomorrow,(2014),113 min,7.9,71        
126,Magnolia,(1999),188 min,8.0,77        
127,Harry Potter and the Prisoner of Azkaban,(2004),142 min,7.9,82        
128,Memento,(2000),113 min,8.4,80        
129,Arrival,(II) (2016),116 min,7.9,81        
130,Captain Fantastic,(2016),118 min,7.9,72        
131,Zodiac,(2007),157 min,7.7,78        
132,Baby Driver,(2017),113 min,7.6,86        
133,The Peanut Butter Falcon,(2019),97 min,7.6,70        
134,Green Book,(2018),130 min,8.2,69        
135,Eternal Sunshine of the Spotless Mind,(2004),108 min,8.3,89        
136,Nightcrawler,(2014),117 min,7.8,76        
137,Dunkirk,(2017),106 min,7.8,94        
138,Primal Fear,(1996),129 min,7.7,47        
139,"The Good, the Bad and the Ugly",(1966),178 min,8.8,90        
140,What We Do in the Shadows,(2014),86 min,7.7,76        
141,The Lord of the Rings: The Two Towers,(2002),179 min,8.7,87        
142,12 Angry Men,(1957),96 min,9.0,96        
143,Psycho,(1960),109 min,8.5,97        
144,Brokeback Mountain,(2005),134 min,7.7,87        
145,Mystic River,(2003),138 min,7.9,84        
146,Harry Potter and the Deathly Hallows: Part 1,(2010),146 min,7.7,65        
147,About Time,(I) (2013),123 min,7.8,55        
148,Spirited Away,(2001),125 min,8.6,96        
149,Inside Man,(2006),129 min,7.6,76        
150,Braveheart,(1995),178 min,8.3,68        
151,Die Hard,(1988),132 min,8.2,72        
152,The Revenant,(2015),156 min,8.0,76        
153,The Martian,(2015),144 min,8.0,80        
154,The Sandlot,(1993),101 min,7.8,55        
155,The Breakfast Club,(1985),97 min,7.8,66        
156,Full Metal Jacket,(1987),116 min,8.3,76        
157,The Lion King,(1994),88 min,8.5,88        
158,Ex Machina,(2014),108 min,7.7,78        
159,Captain America: Civil War,(2016),147 min,7.8,75        
160,The Terminator,(1984),107 min,8.0,84        
161,Spotlight,(I) (2015),129 min,8.1,93        
162,One Flew Over the Cuckoo's Nest,(1975),133 min,8.7,84        
163,Trainspotting,(1996),93 min,8.1,83        
164,Casino Royale,(2006),144 min,8.0,80        
165,City of God,(2002),130 min,8.6,79        
166,Mission: Impossible - Fallout,(2018),147 min,7.7,86        
167,Indiana Jones and the Last Crusade,(1989),127 min,8.2,65        
168,Atonement,(2007),123 min,7.8,85        
169,Demon Slayer: Mugen Train,(2020),117 min,8.3,75        
170,The Hunt,(2012),115 min,8.3,77        
171,Fargo,(1996),98 min,8.1,85        
172,The Pianist,(2002),150 min,8.5,85        
173,Silver Linings Playbook,(2012),122 min,7.7,81        
174,The Sixth Sense,(1999),107 min,8.1,64        
175,Star Trek Into Darkness,(2013),132 min,7.7,72        
176,My Cousin Vinny,(1992),120 min,7.6,68        
177,Room,(I) (2015),118 min,8.1,86        
178,Oldboy,(2003),120 min,8.4,77        
179,Sound of Metal,(2019),120 min,7.8,82        
180,Come and See,(1985),142 min,8.3,-
181,Donnie Darko,(2001),113 min,8.0,88        
182,Into the Wild,(2007),148 min,8.1,73        
183,The Big Short,(2015),130 min,7.8,81        
184,Logan,(2017),137 min,8.1,77        
185,Captain America: The Winter Soldier,(2014),136 min,7.7,70        
186,The Truman Show,(1998),103 min,8.1,90        
187,Coco,(I) (2017),105 min,8.4,81        
188,Harry Potter and the Half-Blood Prince,(2009),153 min,7.6,78        
189,Home Alone,(1990),103 min,7.6,63        
190,Drive,(I) (2011),100 min,7.8,78        
191,Cast Away,(2000),143 min,7.8,73        
192,La La Land,(2016),128 min,8.0,94        
193,Moneyball,(2011),133 min,7.6,87        
194,A Star Is Born,(2018),136 min,7.6,88        
195,Hacksaw Ridge,(2016),139 min,8.1,71        
196,2001: A Space Odyssey,(1968),149 min,8.3,84        
197,The Machinist,(2004),101 min,7.7,61        
198,The Deer Hunter,(1978),183 min,8.1,86        
199,Zootopia,(2016),108 min,8.0,78        
200,Stardust,(2007),127 min,7.6,66        
201,Sin City,(2005),124 min,8.0,74        
202,A Few Good Men,(1992),138 min,7.7,62        
203,The Thing,(1982),109 min,8.1,57        
204,"Three Billboards Outside Ebbing, Missouri",(2017),115 min,8.1,88        
205,Her,(2013),126 min,8.0,91        
206,American History X,(1998),119 min,8.5,62        
207,The Intouchables,(2011),112 min,8.5,57        
208,Ratatouille,(2007),111 min,8.0,96        
209,V for Vendetta,(2005),132 min,8.1,62        
210,The Handmaiden,(2016),145 min,8.1,84        
211,Life Is Beautiful,(1997),116 min,8.6,59        
212,Changeling,(2008),141 min,7.7,63        
213,Apocalypto,(2006),139 min,7.8,68        
214,Unforgiven,(1992),130 min,8.2,85        
215,Blood Diamond,(2006),143 min,8.0,64        
216,The Notebook,(2004),123 min,7.8,53        
217,Once Upon a Time in America,(1984),229 min,8.4,-
218,Gone Baby Gone,(2007),114 min,7.6,72        
219,Creed,(II) (2015),133 min,7.6,82        
220,Star Wars: Episode VI - Return of the Jedi,(1983),131 min,8.3,58        
221,Kick-Ass,(2010),117 min,7.6,66        
222,The Exorcist,(1973),122 min,8.0,81        
223,Predator,(1987),107 min,7.8,45        
224,Midnight in Paris,(2011),94 min,7.7,81        
225,The Graduate,(1967),106 min,8.0,83        
226,Hot Fuzz,(2007),121 min,7.8,81        
227,Memories of Murder,(2003),132 min,8.1,82        
228,The Social Network,(2010),120 min,7.7,95        
229,Star Wars: Episode VII - The Force Awakens,(2015),138 min,7.8,80        
230,Dead Poets Society,(1989),128 min,8.1,79        
231,Argo,(2012),120 min,7.7,86        
232,The Trial of the Chicago 7,(2020),129 min,7.8,76        
233,Willy Wonka & the Chocolate Factory,(1971),100 min,7.8,67        
234,Minority Report,(2002),145 min,7.6,80        
235,Star Wars: Episode V - The Empire Strikes Back,(1980),124 min,8.7,82        
236,Rear Window,(1954),112 min,8.5,100        
237,Big Fish,(2003),125 min,8.0,58        
238,The Curious Case of Benjamin Button,(2008),166 min,7.8,70        
239,Casino,(1995),178 min,8.2,73        
240,Your Name.,(2016),106 min,8.4,79        
241,As Good as It Gets,(1997),139 min,7.7,67        
242,The Thin Red Line,(1998),170 min,7.6,78        
243,Wind River,(2017),107 min,7.7,73        
244,Office Space,(1999),89 min,7.7,68        
245,The Wizard of Oz,(1939),102 min,8.0,92        
246,Saw,(2004),103 min,7.6,46        
247,Blazing Saddles,(1974),93 min,7.7,73        
248,The Perks of Being a Wallflower,(2012),103 min,7.9,67        
249,Rush,(I) (2013),123 min,8.1,74        
250,Marriage Story,(2019),137 min,7.9,94        
251,The Incredibles,(2004),115 min,8.0,90        
252,Halloween,(1978),91 min,7.7,87        
253,Road to Perdition,(2002),117 min,7.7,72        
254,Scent of a Woman,(1992),156 min,8.0,59        
255,Incendies,(2010),131 min,8.3,80        
256,Skyfall,(2012),143 min,7.7,81        
257,The Bourne Identity,(2002),119 min,7.9,68        
258,The Imitation Game,(2014),114 min,8.0,71        
259,Rocky,(1976),120 min,8.1,70        
260,"Monsters, Inc.",(2001),92 min,8.1,79        
261,American Gangster,(2007),157 min,7.8,76        
262,Training Day,(2001),122 min,7.7,69        
263,The Godfather: Part III,(1990),162 min,7.6,60        
264,Pan's Labyrinth,(2006),118 min,8.2,98        
265,A Beautiful Mind,(2001),135 min,8.2,72        
266,E.T. the Extra-Terrestrial,(1982),115 min,7.8,91        
267,L.A. Confidential,(1997),138 min,8.2,90        
268,Gran Torino,(2008),116 min,8.1,72        
269,Back to the Future Part II,(1989),108 min,7.8,57        
270,Platoon,(1986),120 min,8.1,92        
271,"Lock, Stock and Two Smoking Barrels",(1998),107 min,8.2,66        
272,Warrior,(2011),140 min,8.1,71        
273,Hidden Figures,(2016),127 min,7.8,74        
274,Black Hawk Down,(2001),144 min,7.7,74        
275,Howl's Moving Castle,(2004),119 min,8.2,80        
276,Edward Scissorhands,(1990),105 min,7.9,74        
277,12 Years a Slave,(2013),134 min,8.1,96        
278,Inside Out,(I) (2015),95 min,8.1,94        
279,The Help,(2011),146 min,8.0,62        
280,Little Miss Sunshine,(2006),101 min,7.8,80        
281,Blue Is the Warmest Colour,(2013),180 min,7.7,89        
282,Toy Story 4,(2019),100 min,7.7,84        
283,500 Days of Summer,(2009),95 min,7.7,76        
284,Amadeus,(1984),160 min,8.3,88        
285,Dallas Buyers Club,(2013),117 min,8.0,79        
286,Vertigo,(1958),128 min,8.3,100        
287,Children of Men,(2006),109 min,7.9,84        
288,The Sound of Music,(1965),172 min,8.0,63        
289,Dances with Wolves,(1990),181 min,8.0,72        
290,Tangled,(2010),100 min,7.7,71        
291,Shrek,(2001),90 min,7.9,84        
292,Chinatown,(1974),130 min,8.2,92        
293,The Magnificent Seven,(1960),128 min,7.7,74        
294,Train to Busan,(2016),118 min,7.6,72        
295,Zombieland,(2009),88 min,7.6,73        
296,Wonder,(I) (2017),113 min,8.0,66        
297,The Blind Side,(2009),129 min,7.6,53        
298,Manchester by the Sea,(2016),137 min,7.8,96        
299,The Invisible Guest,(2016),106 min,8.1,-
300,Fantastic Mr. Fox,(2009),87 min,7.9,83        
301,Casablanca,(1942),102 min,8.5,100        
302,Amélie,(2001),122 min,8.3,69        
303,Toy Story,(1995),81 min,8.3,95        
304,The Florida Project,(2017),111 min,7.6,92        
305,Kill Bill: Vol. 2,(2004),137 min,8.0,83        
306,Despicable Me,(2010),95 min,7.6,72        
307,Lost in Translation,(2003),102 min,7.7,89        
308,Taken,(I) (2008),90 min,7.8,51        
309,Airplane!,(1980),88 min,7.7,78        
310,The Fugitive,(1993),130 min,7.8,87        
311,Finding Nemo,(2003),100 min,8.1,90        
312,Million Dollar Baby,(2004),132 min,8.1,86        
313,Crash,(I) (2004),112 min,7.7,66        
314,Moonrise Kingdom,(2012),94 min,7.8,84        
315,Just Mercy,(2019),137 min,7.6,68        
316,Portrait of a Lady on Fire,(2019),122 min,8.1,95        
317,Only the Brave,(2017),134 min,7.6,72        
318,The Outlaw Josey Wales,(1976),135 min,7.8,69        
319,District 9,(2009),112 min,7.9,81        
320,Hunt for the Wilderpeople,(2016),101 min,7.9,81        
321,Flipped,(I) (2010),90 min,7.7,45        
322,Birdman or (The Unexpected Virtue of Ignorance),(2014),119 min,7.7,87        
323,The Last of the Mohicans,(1992),112 min,7.7,76        
324,Remember the Titans,(2000),113 min,7.8,48        
325,Hell or High Water,(II) (2016),102 min,7.6,88        
326,Up,(2009),96 min,8.2,88        
327,Sherlock Holmes,(2009),128 min,7.6,57        
328,Before Sunrise,(1995),101 min,8.1,77        
329,Capernaum,(2018),126 min,8.4,75        
330,Giant,(1956),201 min,7.6,84        
331,The Others,(2001),104 min,7.6,74        
332,Dark Waters,(2019),126 min,7.6,73        
333,WALL·E,(2008),98 min,8.4,95        
334,Grave of the Fireflies,(1988),89 min,8.5,94        
335,Who Framed Roger Rabbit,(1988),104 min,7.7,83        
336,X-Men: First Class,(2011),131 min,7.7,65        
337,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),95 min,8.4,97        
338,The Untouchables,(1987),119 min,7.9,79        
339,Rain Man,(1988),133 min,8.0,65        
340,Apollo 13,(I) (1995),140 min,7.6,77        
341,The Lives of Others,(2006),137 min,8.4,89        
342,Deliverance,(1972),109 min,7.7,80        
343,Shaun of the Dead,(2004),99 min,7.9,76        
344,Seven Samurai,(1954),207 min,8.6,98        
345,Lion,(2016),118 min,8.0,69        
346,Gone with the Wind,(1939),238 min,8.1,97        
347,3 Idiots,(2009),170 min,8.4,67        
348,The Warriors,(1979),92 min,7.6,65        
349,How to Train Your Dragon,(2010),98 min,8.1,75        
350,Dark City,(1998),100 min,7.6,66        
351,"O Brother, Where Art Thou?",(2000),107 min,7.7,69        
352,12 Monkeys,(1995),129 min,8.0,74        
353,Serenity,(2005),119 min,7.8,74        
354,Slumdog Millionaire,(2008),120 min,8.0,84        
355,Princess Mononoke,(1997),134 min,8.4,76        
356,The Blues Brothers,(1980),133 min,7.9,60        
357,X-Men: Days of Future Past,(2014),132 min,7.9,75        
358,Walk the Line,(2005),136 min,7.8,72        
359,Once Upon a Time in the West,(1968),165 min,8.5,80        
360,Life of Pi,(2012),127 min,7.9,79        
361,The Royal Tenenbaums,(2001),110 min,7.6,76        
362,Coraline,(2009),100 min,7.7,80        
363,What's Eating Gilbert Grape,(1993),118 min,7.7,73        
364,The Fault in Our Stars,(2014),126 min,7.7,69        
365,First Blood,(1982),93 min,7.7,61        
366,Do the Right Thing,(1989),120 min,8.0,93        
367,Incredibles 2,(2018),118 min,7.6,80        
368,Cool Hand Luke,(1967),127 min,8.1,92        
369,Blue Velvet,(1986),120 min,7.7,76        
370,The Pursuit of Happyness,(2006),117 min,8.0,64        
371,True Grit,(2010),110 min,7.6,80        
372,Downfall,(2004),156 min,8.2,82        
373,Citizen Kane,(1941),119 min,8.3,100        
374,A Bronx Tale,(1993),121 min,7.8,80        
375,Mary Poppins,(1964),139 min,7.8,88        
376,The Skin I Live In,(2011),120 min,7.6,70        
377,The Last Samurai,(2003),154 min,7.7,55        
378,Gattaca,(1997),106 min,7.8,64        
379,Man on Fire,(2004),146 min,7.7,47        
380,My Fair Lady,(1964),170 min,7.8,95        
381,Misery,(1990),107 min,7.8,75        
382,Sense and Sensibility,(1995),136 min,7.7,84        
383,Moon,(2009),97 min,7.8,67        
384,The Bourne Ultimatum,(2007),115 min,8.0,85        
385,Fear and Loathing in Las Vegas,(1998),118 min,7.6,41        
386,The Butterfly Effect,(2004),113 min,7.6,30        
387,Monty Python and the Holy Grail,(1975),91 min,8.2,91        
388,In the Mood for Love,(2000),98 min,8.1,85        
389,Gravity,(2013),91 min,7.7,96        
390,The Birds,(1963),119 min,7.7,90        
391,Y Tu Mamá También,(2001),106 min,7.6,88        
392,Close Encounters of the Third Kind,(1977),138 min,7.6,90        
393,Sling Blade,(1996),135 min,8.0,84        
394,Barry Lyndon,(1975),185 min,8.1,89        
395,Boyz n the Hood,(1991),112 min,7.8,76        
396,Big Hero 6,(2014),102 min,7.8,74        
397,The Bourne Supremacy,(2004),108 min,7.7,73        
398,Aladdin,(1992),90 min,8.0,86        
399,Empire of the Sun,(1987),153 min,7.7,62        
400,Captain Phillips,(2013),134 min,7.8,82        
401,Rosemary's Baby,(1968),137 min,8.0,96        
402,It's a Wonderful Life,(1946),130 min,8.6,89        
403,Mulan,(1998),88 min,7.6,71        
404,The Count of Monte Cristo,(2002),131 min,7.7,61        
405,The Boondock Saints,(1999),108 min,7.7,44        
406,Planet of the Apes,(1968),112 min,8.0,79        
407,Mr. Nobody,(2009),141 min,7.8,63        
408,A Fistful of Dollars,(1964),99 min,8.0,65        
409,Wreck-It Ralph,(2012),101 min,7.7,72        
410,Isle of Dogs,(2018),101 min,7.9,82        
411,Donnie Brasco,(1997),127 min,7.7,76        
412,In Bruges,(2008),107 min,7.9,67        
413,Beauty and the Beast,(1991),84 min,8.0,95        
414,Lethal Weapon,(1987),109 min,7.6,68        
415,Lawrence of Arabia,(1962),228 min,8.3,100        
416,The Wrestler,(2008),109 min,7.9,80        
417,Dog Day Afternoon,(1975),125 min,8.0,86        
418,Gifted,(2017),101 min,7.6,60        
419,The Theory of Everything,(2014),123 min,7.7,71        
420,Raging Bull,(1980),129 min,8.2,89        
421,Groundhog Day,(1993),101 min,8.0,72        
422,I Saw the Devil,(2010),144 min,7.8,67        
423,Akira,(1988),124 min,8.0,-
424,Match Point,(2005),124 min,7.6,72        
425,A Silent Voice: The Movie,(2016),130 min,8.2,78        
426,Dangal,(2016),161 min,8.4,-
427,Toy Story 3,(2010),103 min,8.2,92        
428,The Bridges of Madison County,(1995),135 min,7.6,69        
429,Who's Afraid of Virginia Woolf?,(1966),131 min,8.0,75        
430,Stalker,(1979),162 min,8.1,-
431,Cinema Paradiso,(1988),155 min,8.5,80        
432,The Nightmare Before Christmas,(1993),76 min,8.0,82        
433,Bridge of Spies,(2015),142 min,7.6,81        
434,Das Boot,(1981),149 min,8.3,86        
435,The Fall,(2006),117 min,7.8,64        
436,North by Northwest,(1959),136 min,8.3,98        
437,Straight Outta Compton,(2015),147 min,7.8,72        
438,The Longest Day,(1962),178 min,7.8,75        
439,Mad Max 2,(1981),96 min,7.6,77        
440,Mississippi Burning,(1988),128 min,7.8,65        
441,JFK,(1991),189 min,8.0,72        
442,Before Midnight,(2013),109 min,7.9,94        
443,Hachi: A Dog's Tale,(2009),93 min,8.1,-
444,Philadelphia,(1993),125 min,7.7,66        
445,Clerks,(1994),92 min,7.7,70        
446,The Secret in Their Eyes,(2009),129 min,8.2,80        
447,The Killing Fields,(1984),141 min,7.8,76        
448,Dogville,(2003),178 min,8.0,60        
449,Awakenings,(1990),121 min,7.8,74        
450,Adaptation.,(2002),115 min,7.7,83        
451,Breakfast at Tiffany's,(1961),115 min,7.6,76        
452,Boyhood,(I) (2014),165 min,7.9,100        
453,Brazil,(1985),132 min,7.9,84        
454,The King's Speech,(2010),118 min,8.0,88        
455,Perfect Blue,(1997),81 min,8.0,-
456,Being John Malkovich,(1999),113 min,7.7,90        
457,The Insider,(1999),157 min,7.8,84        
458,Eastern Promises,(2007),100 min,7.6,82        
459,For a Few Dollars More,(1965),132 min,8.2,74        
460,My Neighbor Totoro,(1988),86 min,8.2,86        
461,Seven Pounds,(2008),123 min,7.6,36        
462,"Paris, Texas",(1984),145 min,8.1,78        
463,The Boy in the Striped Pajamas,(2008),94 min,7.8,55        
464,The Fighter,(I) (2010),116 min,7.8,79        
465,When Harry Met Sally...,(1989),95 min,7.6,76        
466,Kung Fu Hustle,(2004),99 min,7.7,78        
467,The Naked Gun: From the Files of Police Squad!,(1988),85 min,7.6,76        
468,Battle Royale,(2000),114 min,7.6,81        
469,The Dirty Dozen,(1967),150 min,7.7,73        
470,3:10 to Yuma,(2007),122 min,7.7,76        
471,The Sting,(1973),129 min,8.3,83        
472,Chungking Express,(1994),102 min,8.1,78        
473,The Ten Commandments,(1956),220 min,7.9,-
474,End of Watch,(2012),109 min,7.6,68        
475,Toy Story 2,(1999),92 min,7.9,88        
476,The Seventh Seal,(1957),96 min,8.2,88        
477,The Girl with the Dragon Tattoo,(2009),152 min,7.8,76        
478,Dirty Harry,(1971),102 min,7.7,90        
479,The Holy Mountain,(1973),114 min,7.9,76        
480,Some Like It Hot,(1959),121 min,8.2,98        
481,The Lego Movie,(2014),100 min,7.7,83        
482,Sunset Blvd.,(1950),110 min,8.4,-
