,Name,Year,Duration,IMDB,MetaScore
483,Blood Simple,(1984),99 min,7.6,83        
484,Carlito's Way,(1993),144 min,7.9,65        
485,This Is Spinal Tap,(1984),82 min,7.9,92        
486,The Raid: Redemption,(2011),101 min,7.6,73        
487,The Color Purple,(1985),154 min,7.8,78        
488,Before Sunset,(2004),80 min,8.1,90        
489,Young Frankenstein,(1974),106 min,8.0,80        
490,Fried Green Tomatoes,(1991),130 min,7.7,64        
491,The Elephant Man,(1980),124 min,8.1,78        
492,Searching,(III) (2018),102 min,7.6,71        
493,The Last Picture Show,(1971),118 min,8.0,93        
494,To Kill a Mockingbird,(1962),129 min,8.3,88        
495,The Great Escape,(1963),172 min,8.2,86        
496,Paddington 2,(2017),103 min,7.8,88        
497,Out of the Past,(1947),97 min,8.0,-
498,Once,(I) (2007),86 min,7.8,88        
499,Neon Genesis Evangelion: The End of Evangelion,(1997),87 min,8.1,-
500,This Is England,(2006),101 min,7.7,86        
501,Wild Tales,(2014),122 min,8.1,77        
502,Ran,(1985),162 min,8.2,96        
503,Die Hard with a Vengeance,(1995),128 min,7.6,58        
504,Rushmore,(1998),93 min,7.7,86        
505,"Crouching Tiger, Hidden Dragon",(2000),120 min,7.8,94        
506,The Conversation,(1974),113 min,7.8,85        
507,Monty Python's Life of Brian,(1979),94 min,8.1,77        
508,Ben-Hur,(1959),212 min,8.1,90        
509,The Man from Earth,(2007),87 min,7.9,-
510,La Haine,(1995),98 min,8.1,-
511,Spartacus,(1960),197 min,7.9,87        
512,Strangers on a Train,(1951),101 min,8.0,88        
513,Lucky Number Slevin,(2006),110 min,7.7,53        
514,Lost Highway,(1997),134 min,7.6,52        
515,50/50,(2011),100 min,7.6,72        
516,Butch Cassidy and the Sundance Kid,(1969),110 min,8.0,66        
517,The African Queen,(1951),105 min,7.8,91        
518,Naked,(1993),132 min,7.8,84        
519,Glengarry Glen Ross,(1992),100 min,7.7,82        
520,Singin' in the Rain,(1952),103 min,8.3,99        
521,All About Eve,(1950),138 min,8.2,98        
522,Tumbbad,(2018),104 min,8.3,-
523,A Man for All Seasons,(1966),120 min,7.7,72        
524,Metropolis,(1927),153 min,8.3,98        
525,The Jungle Book,(1967),78 min,7.6,65        
526,The French Connection,(1971),104 min,7.7,94        
527,Raatchasan,(2018),170 min,8.5,-
528,The Double Life of Véronique,(1991),98 min,7.8,86        
529,Wait Until Dark,(1967),108 min,7.8,81        
530,Midnight Cowboy,(1969),113 min,7.8,79        
531,The Last King of Scotland,(2006),123 min,7.7,74        
532,The King of Comedy,(1982),109 min,7.8,73        
533,The Wild Bunch,(1969),135 min,7.9,97        
534,Enemy at the Gates,(2001),131 min,7.6,53        
535,Soorarai Pottru,(2020),153 min,9.1,-
536,The Iron Giant,(1999),86 min,8.0,85        
537,Guess Who's Coming to Dinner,(1967),108 min,7.8,63        
538,Bonnie and Clyde,(1967),111 min,7.8,86        
539,A Separation,(2011),123 min,8.3,95        
540,Enter the Dragon,(1973),102 min,7.7,83        
541,Star Trek II: The Wrath of Khan,(1982),113 min,7.7,67        
542,Fallen Angels,(1995),99 min,7.7,71        
543,Annie Hall,(1977),93 min,8.0,92        
544,Sing Street,(2016),106 min,7.9,79        
545,Billy Elliot,(2000),110 min,7.7,74        
546,Roma,(2018),135 min,7.7,96        
547,Hara-Kiri,(1962),133 min,8.6,85        
548,"Blood In, Blood Out",(1993),180 min,8.0,47        
549,Network,(1976),121 min,8.1,83        
550,On the Waterfront,(1954),108 min,8.1,91        
551,What Ever Happened to Baby Jane?,(1962),134 min,8.1,75        
552,Dawn of the Dead,(1978),127 min,7.9,71        
553,Ordinary People,(1980),124 min,7.7,86        
554,In the Name of the Father,(1993),133 min,8.1,84        
555,Goldfinger,(1964),110 min,7.7,87        
556,Ponyo,(2008),101 min,7.7,86        
557,Night of the Living Dead,(1968),96 min,7.9,89        
558,Ip Man,(2008),106 min,8.0,59        
559,After Hours,(I) (1985),97 min,7.7,90        
560,Dil Chahta Hai,(2001),183 min,8.1,-
561,Where Eagles Dare,(1968),158 min,7.6,63        
562,Rebecca,(1940),130 min,8.1,86        
563,The Apartment,(1960),125 min,8.3,94        
564,Papillon,(1973),151 min,8.0,58        
565,Patton,(1970),172 min,7.9,91        
566,Klaus,(2019),96 min,8.2,65        
567,Andhadhun,(2018),139 min,8.2,-
568,Kiki's Delivery Service,(1989),103 min,7.9,83        
569,Let the Right One In,(2008),114 min,7.9,82        
570,Dial M for Murder,(1954),105 min,8.2,75        
571,How to Train Your Dragon 2,(2014),102 min,7.8,76        
572,Mother,(2009),129 min,7.8,79        
573,Hotel Rwanda,(2004),121 min,8.1,79        
574,I Am Sam,(2001),132 min,7.6,28        
575,Ghost in the Shell,(1995),83 min,8.0,76        
576,Serpico,(1973),130 min,7.7,87        
577,The Bridge on the River Kwai,(1957),161 min,8.1,87        
578,The Best Offer,(2013),131 min,7.8,49        
579,Pride,(I) (2014),119 min,7.8,79        
580,Finding Neverland,(2004),106 min,7.7,67        
581,Gandhi,(1982),191 min,8.0,79        
582,Beasts of No Nation,(2015),137 min,7.7,79        
583,Togo,(2019),113 min,8.0,69        
584,Solaris,(1972),167 min,8.1,90        
585,Glory,(1989),122 min,7.8,78        
586,21 Grams,(2003),124 min,7.6,70        
587,The Name of the Rose,(1986),130 min,7.7,54        
588,The Searchers,(1956),119 min,7.9,94        
589,Doctor Zhivago,(1965),197 min,8.0,69        
590,Cinderella Man,(2005),144 min,8.0,69        
591,Good Bye Lenin!,(2003),121 min,7.7,68        
592,Persona,(1966),83 min,8.1,86        
593,Ed Wood,(1994),127 min,7.8,70        
594,Miller's Crossing,(1990),115 min,7.7,66        
595,Love's a Bitch,(2000),154 min,8.1,83        
596,M,(1931),99 min,8.3,-
597,All That Jazz,(1979),123 min,7.9,72        
598,Paths of Glory,(1957),88 min,8.4,90        
599,Evil Dead II,(1987),84 min,7.7,72        
600,Mommy,(I) (2014),139 min,8.1,74        
601,A Streetcar Named Desire,(1951),122 min,8.0,97        
602,The Right Stuff,(1983),193 min,7.8,91        
603,Wings of Desire,(1987),128 min,8.0,79        
604,Letters from Iwo Jima,(2006),141 min,7.9,89        
605,The Remains of the Day,(1993),134 min,7.8,86        
606,Miracle in Cell No. 7,(2019),132 min,8.2,-
607,Uri: The Surgical Strike,(2018),138 min,8.2,-
608,Nosferatu,(1922),94 min,7.9,-
609,The Man Who Shot Liberty Valance,(1962),123 min,8.1,94        
610,Charade,(1963),113 min,7.9,83        
611,Paprika,(2006),90 min,7.7,81        
612,"South Park: Bigger, Longer & Uncut",(1999),81 min,7.7,73        
613,Rio Bravo,(1959),141 min,8.0,93        
614,Confessions,(2010),106 min,7.7,-
615,"Spring, Summer, Fall, Winter... and Spring",(2003),103 min,8.0,85        
616,Roman Holiday,(1953),118 min,8.0,78        
617,The Wind Rises,(2013),126 min,7.8,83        
618,The Artist,(I) (2011),100 min,7.9,89        
619,Nausicaä of the Valley of the Wind,(1984),117 min,8.1,86        
620,The Long Goodbye,(1973),112 min,7.6,87        
621,Shoplifters,(2018),121 min,7.9,93        
622,8½,(1963),138 min,8.0,91        
623,The Body,(2012),112 min,7.6,-
624,Escape from Alcatraz,(1979),112 min,7.6,76        
625,Hero,(2002),120 min,7.9,85        
626,Dancer in the Dark,(2000),140 min,8.0,61        
627,All the President's Men,(1976),138 min,8.0,84        
628,Fiddler on the Roof,(1971),181 min,8.0,67        
629,Castle in the Sky,(1986),125 min,8.0,78        
630,Rope,(1948),80 min,8.0,73        
631,Yojimbo,(1961),110 min,8.2,-
632,High Noon,(1952),85 min,8.0,89        
633,God's Own Country,(2017),104 min,7.7,85        
634,October Sky,(1999),108 min,7.8,71        
635,Kramer vs. Kramer,(1979),105 min,7.8,77        
636,Paper Moon,(1973),102 min,8.1,77        
637,Detachment,(2011),98 min,7.7,52        
638,Pink Floyd: The Wall,(1982),95 min,8.0,47        
639,Happiness,(1998),134 min,7.7,81        
640,The Great Beauty,(2013),141 min,7.8,86        
641,Badlands,(1973),94 min,7.8,93        
642,Fanny and Alexander,(1982),188 min,8.1,100        
643,Barton Fink,(1991),116 min,7.7,69        
644,Witness for the Prosecution,(1957),116 min,8.4,-
645,Gangs of Wasseypur,(2012),321 min,8.2,89        
646,Sabrina,(1954),113 min,7.7,72        
647,Malcolm X,(1992),202 min,7.7,73        
648,Cabaret,(1972),124 min,7.8,80        
649,A Little Princess,(1995),97 min,7.7,83        
650,Kelly's Heroes,(1970),144 min,7.6,50        
651,My Left Foot,(1989),103 min,7.9,97        
652,Stagecoach,(1939),96 min,7.9,93        
653,The Maltese Falcon,(1941),100 min,8.0,96        
654,Three Colors: Red,(1994),99 min,8.1,100        
655,The Taking of Pelham One Two Three,(1974),104 min,7.7,68        
656,The Treasure of the Sierra Madre,(1948),126 min,8.2,98        
657,Rashomon,(1950),88 min,8.2,98        
658,The Raid 2,(2014),150 min,8.0,71        
659,The Sweet Life,(1960),174 min,8.0,95        
660,Rebel Without a Cause,(1955),111 min,7.7,89        
661,Three Colors: Blue,(1993),94 min,7.9,85        
662,Harold and Maude,(1971),91 min,7.9,62        
663,Drishyam 2,(2021),152 min,8.6,-
664,Loving Vincent,(2017),94 min,7.8,62        
665,The Man from Nowhere,(2010),119 min,7.8,-
666,The Night of the Hunter,(1955),92 min,8.0,99        
667,Lifeboat,(1944),97 min,7.6,78        
668,The Killing,(1956),84 min,8.0,91        
669,Short Term 12,(2013),96 min,8.0,82        
670,Like Stars on Earth,(2007),165 min,8.4,-
671,The Third Man,(1949),93 min,8.1,97        
672,In the Heat of the Night,(1967),110 min,7.9,75        
673,Me and Earl and the Dying Girl,(2015),105 min,7.7,74        
674,The Last Emperor,(1987),163 min,7.7,76        
675,Mysterious Skin,(2004),105 min,7.6,73        
676,Double Indemnity,(1944),107 min,8.3,95        
677,Mary and Max,(2009),92 min,8.1,-
678,The Odd Couple,(1968),105 min,7.7,86        
679,Anatomy of a Murder,(1959),161 min,8.0,95        
680,Mirror,(1975),107 min,8.1,80        
681,Black Book,(2006),145 min,7.7,71        
682,Watership Down,(1978),91 min,7.6,64        
683,The Celebration,(1998),105 min,8.1,82        
684,Secrets & Lies,(1996),136 min,8.0,91        
685,PK,(2014),153 min,8.1,-
686,Ray,(I) (2004),152 min,7.7,73        
687,A Man Called Ove,(2015),116 min,7.7,70        
688,Being There,(1979),130 min,8.0,83        
689,The Chaser,(2008),125 min,7.8,64        
690,Land of Mine,(2015),100 min,7.8,75        
691,Dead Man's Shoes,(2004),90 min,7.6,52        
692,Red River,(1948),133 min,7.8,-
693,The Philadelphia Story,(1940),112 min,7.9,96        
694,Notorious,(1946),102 min,8.0,100        
695,Days of Heaven,(1978),94 min,7.8,93        
696,Zindagi Na Milegi Dobara,(2011),155 min,8.2,-
697,The Great Dictator,(1940),125 min,8.4,-
698,25th Hour,(2002),135 min,7.6,68        
699,Gaslight,(1944),114 min,7.8,-
700,Amour,(2012),127 min,7.9,94        
701,The Big Sleep,(1946),114 min,7.9,-
702,The Quiet Man,(1952),129 min,7.8,-
703,Modern Times,(1936),87 min,8.5,96        
704,Withnail & I,(1987),107 min,7.6,84        
705,A Prophet,(2009),155 min,7.9,90        
706,King Kong,(1933),100 min,7.9,90        
707,Freaks,(1932),64 min,7.9,80        
708,Ayla: The Daughter of War,(2017),125 min,8.4,-
709,The Straight Story,(1999),112 min,8.0,86        
710,Nebraska,(2013),115 min,7.7,87        
711,Whisper of the Heart,(1995),111 min,7.9,75        
712,The Best Years of Our Lives,(1946),170 min,8.1,93        
713,The Station Agent,(2003),89 min,7.6,81        
714,Breathless,(1960),90 min,7.8,-
715,Manhattan,(1979),96 min,7.9,83        
716,The Hustler,(1961),134 min,8.0,90        
717,Talk to Her,(2002),112 min,7.9,86        
718,A Christmas Story,(1983),93 min,7.9,77        
719,Key Largo,(1948),100 min,7.8,-
720,Kubo and the Two Strings,(2016),101 min,7.8,84        
721,Zulu,(1964),138 min,7.7,77        
722,Run Lola Run,(1998),80 min,7.7,77        
723,From Here to Eternity,(1953),118 min,7.6,85        
724,Sympathy for Mr. Vengeance,(2002),129 min,7.6,56        
725,Death Note,(2006),126 min,7.7,-
726,Short Cuts,(1993),188 min,7.7,79        
727,Ikiru,(1952),143 min,8.3,-
728,High and Low,(1963),143 min,8.4,-
729,Hamlet,(1996),242 min,7.7,-
730,Pather Panchali,(1955),125 min,8.5,-
731,All About My Mother,(1999),101 min,7.9,87        
732,The Verdict,(1982),129 min,7.7,77        
733,The Day the Earth Stood Still,(1951),92 min,7.7,-
734,The Manchurian Candidate,(1962),126 min,7.9,94        
735,Frankenstein,(1931),70 min,7.8,91        
736,Open Your Eyes,(1997),119 min,7.7,-
737,Control,(2007),122 min,7.7,78        
738,Hedwig and the Angry Inch,(2001),95 min,7.7,85        
739,Tokyo Story,(1953),136 min,8.2,-
740,Autumn Sonata,(1978),99 min,8.2,-
741,The Day of the Jackal,(1973),143 min,7.8,80        
742,Victoria,(II) (2015),138 min,7.6,77        
743,The Red Shoes,(1948),135 min,8.1,-
744,It Happened One Night,(1934),105 min,8.1,87        
745,Perfect Strangers,(2016),96 min,7.8,-
746,The Man Who Would Be King,(1975),129 min,7.8,91        
747,Chhichhore,(2019),143 min,8.3,-
748,In a Lonely Place,(1950),94 min,8.0,-
749,Breaking the Waves,(1996),159 min,7.8,76        
750,Belle de Jour,(1967),100 min,7.7,-
751,Infernal Affairs,(2002),101 min,8.0,75        
752,A Hard Day's Night,(1964),87 min,7.6,96        
753,Bicycle Thieves,(1948),89 min,8.3,-
754,The Grapes of Wrath,(1940),129 min,8.1,96        
755,Porco Rosso,(1992),94 min,7.7,83        
756,The 400 Blows,(1959),99 min,8.1,-
757,Wild Strawberries,(1957),91 min,8.2,88        
758,Judgment at Nuremberg,(1961),179 min,8.2,60        
759,Fantasia,(1940),125 min,7.7,96        
760,Philomena,(2013),98 min,7.6,77        
761,The Muppet Movie,(1979),95 min,7.6,74        
762,The Legend of 1900,(1998),169 min,8.1,58        
763,East of Eden,(1955),118 min,7.9,72        
764,Invasion of the Body Snatchers,(1956),80 min,7.7,92        
765,Children of Heaven,(1997),89 min,8.3,77        
766,Touch of Evil,(1958),95 min,8.0,99        
767,"Duck, You Sucker!",(1971),138 min,7.6,77        
768,La Vie En Rose,(2007),140 min,7.6,66        
769,The Lion in Winter,(1968),134 min,7.9,-
770,Delicatessen,(1991),99 min,7.6,66        
771,"Aguirre, the Wrath of God",(1972),95 min,7.9,-
772,When Marnie Was There,(2014),103 min,7.7,72        
773,The White Ribbon,(2009),144 min,7.8,82        
774,Song of the Sea,(2014),93 min,8.1,85        
775,The Vanishing,(1988),107 min,7.7,-
776,Andrei Rublev,(1966),205 min,8.1,-
777,The Hidden Fortress,(1958),126 min,8.1,-
778,City Lights,(1931),87 min,8.5,99        
779,The Visitor,(I) (2007),104 min,7.6,79        
780,Cat on a Hot Tin Roof,(1958),108 min,8.0,84        
781,Fantastic Planet,(1973),72 min,7.8,73        
782,Inherit the Wind,(1960),128 min,8.1,75        
783,Cape Fear,(1962),106 min,7.7,76        
784,Dara of Jasenovac,(2020),130 min,8.9,-
785,Waking Life,(2001),99 min,7.8,83        
786,The Adventures of Robin Hood,(1938),102 min,7.9,97        
787,To Have and Have Not,(1944),100 min,7.8,90        
788,The Wave,(2008),107 min,7.6,-
789,Hannah and Her Sisters,(1986),107 min,7.9,90        
790,Once Were Warriors,(1994),102 min,7.9,77        
791,A Very Long Engagement,(2004),133 min,7.6,76        
792,Laura,(1944),88 min,8.0,-
793,Mr. Smith Goes to Washington,(1939),129 min,8.1,73        
794,The Message,(1976),177 min,8.2,-
795,Scarface,(1932),93 min,7.8,87        
796,The Diving Bell and the Butterfly,(2007),112 min,8.0,92        
797,Frost/Nixon,(2008),122 min,7.7,80        
798,The Sacrifice,(1986),149 min,8.0,-
799,The Motorcycle Diaries,(2004),126 min,7.8,75        
800,Adam's Apples,(2005),94 min,7.8,51        
801,Le Samouraï,(1967),101 min,8.1,-
802,Lagaan: Once Upon a Time in India,(2001),224 min,8.1,84        
803,The Salesman,(2016),124 min,7.7,85        
804,The Tenant,(1976),126 min,7.7,71        
805,Drishyam,(2015),163 min,8.2,-
806,Sweet Smell of Success,(1957),96 min,8.0,100        
807,The Kid,(1921),68 min,8.3,-
808,The Sea Inside,(I) (2004),126 min,8.0,74        
809,The Tale of The Princess Kaguya,(2013),137 min,8.0,89        
810,Bajrangi Bhaijaan,(2015),163 min,8.0,-
811,Fitzcarraldo,(1982),158 min,8.1,-
812,3-Iron,(2004),88 min,8.0,72        
813,Batman: Mask of the Phantasm,(1993),76 min,7.8,-
814,Repulsion,(1965),105 min,7.7,91        
815,Night on Earth,(1991),129 min,7.7,68        
816,Eyes Without a Face,(1960),90 min,7.7,90        
817,Shadow of a Doubt,(1943),108 min,7.8,94        
818,Diabolique,(1955),117 min,8.1,-
819,Lilya 4-Ever,(2002),109 min,7.8,82        
820,Throne of Blood,(1957),110 min,8.1,-
821,Leviathan,(2014),140 min,7.6,92        
822,The Bandit,(1996),128 min,8.2,-
823,His Girl Friday,(1940),92 min,7.9,-
824,Bhaag Milkha Bhaag,(2013),186 min,8.2,-
825,Cowboy Bebop: The Movie,(2001),115 min,7.9,61        
826,Interstate 60: Episodes of the Road,(2002),116 min,7.7,-
827,Evil,(2003),113 min,7.8,61        
828,Gilda,(1946),110 min,7.6,-
829,Nights of Cabiria,(1957),110 min,8.1,-
830,Kagemusha,(1980),162 min,8.0,84        
831,Chak De! India,(2007),153 min,8.2,68        
832,Gully Boy,(2019),154 min,8.0,65        
833,The Cabinet of Dr. Caligari,(1920),67 min,8.1,-
834,Elite Squad,(2007),115 min,8.0,33        
835,Wolf Children,(2012),117 min,8.1,71        
836,Hard Boiled,(1992),128 min,7.8,-
837,Amarcord,(1973),123 min,7.9,-
838,Underground,(1995),167 min,8.1,79        
839,The Conformist,(1970),113 min,8.0,100        
840,Three Colors: White,(1994),92 min,7.6,88        
841,All Quiet on the Western Front,(1930),152 min,8.1,91        
842,Lupin III: The Castle of Cagliostro,(1979),102 min,7.6,72        
843,The Bride of Frankenstein,(1935),75 min,7.8,95        
844,The 39 Steps,(1935),86 min,7.7,93        
845,To Be or Not to Be,(1942),99 min,8.2,86        
846,Nobody Knows,(2004),141 min,8.1,88        
847,"I, Daniel Blake",(2016),100 min,7.9,78        
848,The Wages of Fear,(1953),131 min,8.1,85        
849,Persepolis,(2007),96 min,8.0,90        
850,Taste of Cherry,(1997),95 min,7.8,80        
851,Peeping Tom,(1960),101 min,7.7,-
852,The Lady Vanishes,(1938),96 min,7.8,98        
853,Cries & Whispers,(1972),91 min,8.1,-
854,The Return,(2003),110 min,8.0,82        
855,Baahubali: The Beginning,(2015),159 min,8.0,-
856,Bringing Up Baby,(1938),102 min,7.9,91        
857,The Umbrellas of Cherbourg,(1964),91 min,7.8,86        
858,The Thin Man,(1934),91 min,8.0,86        
859,The Innocents,(1961),100 min,7.8,88        
860,The Lunchbox,(2013),104 min,7.8,76        
861,Vikram Vedha,(2017),147 min,8.4,-
862,Shine,(1996),105 min,7.7,87        
863,My Name Is Khan,(2010),165 min,8.0,50        
864,Rififi,(1955),118 min,8.1,97        
865,The Secret of Kells,(2009),75 min,7.6,81        
866,Fearless,(2006),104 min,7.6,70        
867,Article 15,(2019),130 min,8.2,-
868,K.G.F: Chapter 1,(2018),156 min,8.3,-
869,The Little Prince,(2015),108 min,7.7,70        
870,The Invisible Man,(1933),71 min,7.7,87        
871,Love and Death,(1975),85 min,7.7,89        
872,The World's Fastest Indian,(2005),127 min,7.8,68        
873,Brief Encounter,(1945),86 min,8.0,92        
874,Sunrise,(1927),94 min,8.1,-
875,Munna Bhai M.B.B.S.,(2003),156 min,8.1,-
876,Pink,(III) (2016),136 min,8.1,-
877,Down by Law,(1986),107 min,7.7,75        
878,Loveless,(2017),127 min,7.6,86        
879,Kal Ho Naa Ho,(2003),186 min,7.9,54        
880,The Experiment,(2001),120 min,7.7,60        
881,Stalag 17,(1953),120 min,8.0,84        
882,After the Wedding,(2006),120 min,7.7,78        
883,La Strada,(1954),108 min,8.0,-
884,Dilwale Dulhania Le Jayenge,(1995),181 min,8.1,-
885,Tokyo Godfathers,(2003),92 min,7.8,73        
886,Ivan's Childhood,(1962),95 min,8.1,-
887,My Sassy Girl,(2001),137 min,8.0,-
888,Arsenic and Old Lace,(1943),118 min,8.0,-
889,The Postman,(1994),108 min,7.7,81        
890,The Girl Who Leapt Through Time,(2006),98 min,7.7,-
891,The Past,(2013),130 min,7.7,85        
892,Darbareye Elly,(2009),119 min,8.0,87        
893,Swades,(2004),189 min,8.2,-
894,Sleuth,(1972),138 min,8.0,-
895,The General,(1926),67 min,8.1,-
896,Winter Sleep,(2014),196 min,8.1,88        
897,The Battle of Algiers,(1966),121 min,8.1,96        
898,Head-On,(2004),121 min,7.9,78        
899,Ninja Scroll,(1993),94 min,7.9,-
900,Only Yesterday,(1991),118 min,7.6,90        
901,Time of the Gypsies,(1988),142 min,8.2,-
902,Rang De Basanti,(2006),167 min,8.1,-
903,L'Avventura,(1960),144 min,7.9,-
904,The Discreet Charm of the Bourgeoisie,(1972),102 min,7.9,93        
905,Kahaani,(2012),122 min,8.1,-
906,Hera Pheri,(2000),156 min,8.2,-
907,G.O.R.A.,(2004),127 min,8.0,-
908,Harvey,(1950),104 min,7.9,-
909,M.S. Dhoni: The Untold Story,(2016),184 min,7.9,-
910,Departures,(2008),130 min,8.1,68        
911,Farewell My Concubine,(1993),171 min,8.1,83        
912,Ace in the Hole,(1951),111 min,8.1,72        
913,Badhaai Ho,(2018),124 min,8.0,-
914,The Gold Rush,(1925),95 min,8.2,-
915,Hindi Medium,(2017),132 min,7.9,-
916,Queen,(2013),146 min,8.2,-
917,The Broken Circle Breakdown,(2012),111 min,7.7,70        
918,My Father and My Son,(2005),112 min,8.3,-
919,Crimes and Misdemeanors,(1989),104 min,7.9,77        
920,Sanjuro,(1962),96 min,8.1,-
921,Vivre Sa Vie,(1962),85 min,8.0,-
922,In America,(2002),105 min,7.7,76        
923,Millennium Actress,(2001),87 min,7.9,70        
924,Au Revoir les Enfants,(1987),104 min,8.0,88        
925,The Passion of Joan of Arc,(1928),114 min,8.1,-
926,Miracle on 34th Street,(1947),96 min,7.9,88        
927,Jules and Jim,(1962),105 min,7.8,97        
928,The Purple Rose of Cairo,(1985),82 min,7.7,75        
929,The Triplets of Belleville,(2003),80 min,7.8,91        
930,"4 Months, 3 Weeks and 2 Days",(2007),113 min,7.9,97        
931,Battleship Potemkin,(1925),66 min,8.0,97        
932,The Ladykillers,(1955),91 min,7.7,91        
933,The Exterminating Angel,(1962),95 min,8.1,-
934,Rockstar,(2011),159 min,7.7,-
935,Fireworks,(1997),103 min,7.8,-
936,The Killer,(1989),111 min,7.8,82        
937,In a Better World,(2010),118 min,7.6,65        
938,Celda 211,(2009),113 min,7.6,-
939,Hiroshima Mon Amour,(1959),90 min,7.9,-
940,Baahubali 2: The Conclusion,(2017),167 min,8.2,-
941,Drishyam,(2013),160 min,8.3,-
942,"Black Cat, White Cat",(1998),127 min,8.1,73        
943,Waltz with Bashir,(2008),90 min,8.0,91        
944,Joint Security Area,(2000),110 min,7.8,58        
945,Veer-Zaara,(2004),192 min,7.8,67        
946,Vampire Hunter D: Bloodlust,(2000),103 min,7.7,62        
947,No Man's Land,(I) (2001),98 min,7.9,84        
948,White Heat,(1949),114 min,8.1,-
949,Special 26,(2013),144 min,8.0,-
950,Masaan,(2015),109 min,8.2,-
951,Duck Soup,(1933),69 min,7.8,93        
952,The Shop Around the Corner,(1940),99 min,8.1,96        
953,The Virgin Spring,(1960),89 min,8.1,-
954,Tangerines,(2013),87 min,8.2,73        
955,The Magdalene Sisters,(2002),114 min,7.7,83        
956,Udaan,(2010),134 min,8.2,-
957,Haider,(2014),160 min,8.1,-
958,Talvar,(2015),132 min,8.2,-
959,The Lost Weekend,(1945),101 min,7.9,-
960,Raise the Red Lantern,(1991),125 min,8.1,-
961,Elite Squad 2: The Enemy Within,(2010),115 min,8.0,71        
962,The Muppet Christmas Carol,(1992),85 min,7.7,64        
963,Once Upon a Time in Anatolia,(2011),157 min,7.9,82        
964,Baby,(I) (2015),159 min,8.0,-
965,Nine Queens,(2000),114 min,7.9,80        
966,Raazi,(2018),138 min,7.8,-
967,Black,(2005),122 min,8.2,-
968,Barfi!,(2012),151 min,8.1,-
969,The Chorus,(2004),97 min,7.9,56        
970,Sholay,(1975),162 min,8.2,-
971,Kind Hearts and Coronets,(1949),106 min,8.0,-
972,Jab We Met,(2007),138 min,7.9,-
973,Sherlock Jr.,(1924),45 min,8.2,-
974,La Grande Illusion,(1937),113 min,8.1,-
975,Le Dîner de Cons,(1998),80 min,7.7,73        
976,Knockin' on Heaven's Door,(1997),87 min,7.9,-
977,Udta Punjab,(2016),148 min,7.8,-
978,A Wednesday,(2008),104 min,8.1,-
979,English Vinglish,(2012),134 min,7.8,-
980,Tae Guk Gi: The Brotherhood of War,(2004),140 min,8.0,64        
981,The Rules of the Game,(1939),110 min,8.0,-
982,Central Station,(1998),110 min,8.0,80        
983,Airlift,(2016),130 min,8.0,-
984,Joyeux Noel,(2005),116 min,7.7,70        
985,C.R.A.Z.Y.,(2005),129 min,7.9,81        
986,The Circus,(1928),72 min,8.1,90        
987,Paan Singh Tomar,(2012),135 min,8.2,-
988,"Carry On, Munna Bhai",(2006),144 min,8.0,-
989,Andaz Apna Apna,(1994),160 min,8.1,-
990,Dev.D,(2009),144 min,8.0,-
991,A Night at the Opera,(1935),96 min,7.9,-
992,Zelig,(1983),79 min,7.7,-
993,OMG: Oh My God!,(2012),125 min,8.1,-
994,Vicky Donor,(2012),126 min,7.8,-
995,Anand,(1971),122 min,8.2,-
996,Kai Po Che,(2013),120 min,7.8,40        
997,The Edge of Heaven,(2007),122 min,7.8,85        
998,Vizontele,(2001),110 min,8.0,-
999,The Breath,(2009),128 min,8.0,-
